mode: count
fmt/format.go:54.28,56.2 1 14275
fmt/scan.go:631.10,632.36 1 68
fmt/scan.go:638.52,639.17 1 2193
fmt/scan.go:642.2,646.17 5 2157
fmt/scan.go:656.2,658.16 3 2141
fmt/scan.go:661.2,663.12 3 2141
fmt/scan.go:666.2,666.10 1 2137
fmt/scan.go:639.17,641.3 1 36
fmt/scan.go:646.17,647.55 1 1
fmt/scan.go:647.55,649.4 1 0
fmt/scan.go:650.8,652.18 2 2140
fmt/scan.go:652.18,654.4 1 1960
fmt/scan.go:658.16,660.3 1 0
fmt/scan.go:663.12,665.3 1 4
fmt/scan.go:671.54,672.17 1 179
fmt/scan.go:675.2,679.17 5 176
fmt/scan.go:686.2,688.16 3 172
fmt/scan.go:691.2,693.12 3 172
fmt/scan.go:696.2,696.10 1 170
fmt/scan.go:672.17,674.3 1 3
fmt/scan.go:679.17,680.55 1 1
fmt/scan.go:680.55,682.4 1 0
fmt/scan.go:683.8,683.24 1 171
fmt/scan.go:683.24,685.3 1 149
fmt/scan.go:688.16,690.3 1 0
fmt/scan.go:693.12,695.3 1 2
fmt/scan.go:702.34,705.56 2 273
fmt/scan.go:709.2,711.56 2 264
fmt/scan.go:714.2,716.37 3 237
fmt/scan.go:721.2,721.23 1 237
fmt/scan.go:724.2,724.22 1 237
fmt/scan.go:730.2,730.19 1 237
fmt/scan.go:737.2,737.22 1 237
fmt/scan.go:705.56,707.3 1 9
fmt/scan.go:711.56,713.3 1 27
fmt/scan.go:716.37,719.3 2 73
fmt/scan.go:721.24,722.3 0 267
fmt/scan.go:724.22,726.24 1 137
fmt/scan.go:726.25,727.4 0 200
fmt/scan.go:730.19,734.37 2 184
fmt/scan.go:734.38,735.4 0 237
fmt/scan.go:743.50,749.21 4 73
fmt/scan.go:753.2,755.20 3 73
fmt/scan.go:758.2,758.30 1 73
fmt/scan.go:761.2,761.30 1 73
fmt/scan.go:749.21,751.3 1 0
fmt/scan.go:755.20,757.3 1 0
fmt/scan.go:758.30,760.3 1 0
fmt/scan.go:764.26,765.30 1 101
fmt/scan.go:770.2,770.14 1 36
fmt/scan.go:765.30,766.33 1 403
fmt/scan.go:766.33,768.4 1 65
fmt/scan.go:774.54,778.52 1 272
fmt/scan.go:799.2,800.16 2 236
fmt/scan.go:803.2,803.10 1 231
fmt/scan.go:778.52,782.17 2 36
fmt/scan.go:789.3,790.17 2 36
fmt/scan.go:797.3,797.26 1 36
fmt/scan.go:782.17,784.44 1 0
fmt/scan.go:787.4,787.16 1 0
fmt/scan.go:784.44,786.5 1 0
fmt/scan.go:790.17,792.44 1 0
fmt/scan.go:795.4,795.16 1 0
fmt/scan.go:792.44,794.5 1 0
fmt/scan.go:800.16,802.3 1 5
fmt/scan.go:810.55,811.44 1 77
fmt/scan.go:814.2,819.28 6 77
fmt/scan.go:811.44,813.3 1 0
fmt/scan.go:824.52,825.40 1 128
fmt/scan.go:828.2,830.14 3 128
fmt/scan.go:838.2,838.8 1 110
fmt/scan.go:825.40,827.3 1 0
fmt/scan.go:831.11,832.25 1 6
fmt/scan.go:833.16,834.22 1 12
fmt/scan.go:835.10,836.40 1 93
fmt/scan.go:842.36,845.15 3 6
fmt/scan.go:879.2,879.11 1 0
fmt/scan.go:846.11,848.7 1 2
fmt/scan.go:855.3,855.23 1 2
fmt/scan.go:856.11,859.7 2 4
fmt/scan.go:871.3,872.17 2 4
fmt/scan.go:875.3,875.16 1 4
fmt/scan.go:876.10,877.42 1 0
fmt/scan.go:848.7,850.18 2 35
fmt/scan.go:853.4,853.22 1 33
fmt/scan.go:850.18,851.10 1 2
fmt/scan.go:859.7,862.17 3 57
fmt/scan.go:862.17,867.5 1 8
fmt/scan.go:867.10,867.23 1 49
fmt/scan.go:867.23,868.10 1 4
fmt/scan.go:872.17,874.4 1 0
fmt/scan.go:883.35,885.15 2 133
fmt/scan.go:893.2,893.18 1 8
fmt/scan.go:886.56,887.27 1 119
fmt/scan.go:888.36,889.32 1 3
fmt/scan.go:890.36,891.32 1 3
fmt/scan.go:899.42,901.18 2 74
fmt/scan.go:904.2,905.9 2 70
fmt/scan.go:909.2,910.9 2 63
fmt/scan.go:914.2,914.39 1 62
fmt/scan.go:901.18,903.3 1 4
fmt/scan.go:905.9,908.3 2 7
fmt/scan.go:910.9,913.3 2 1
fmt/scan.go:918.33,920.6 2 12
fmt/scan.go:927.2,927.21 1 11
fmt/scan.go:931.2,931.22 1 11
fmt/scan.go:920.6,922.10 2 74
fmt/scan.go:925.3,925.21 1 62
fmt/scan.go:922.10,923.9 1 11
fmt/scan.go:927.21,930.3 2 0
fmt/scan.go:944.28,947.20 3 12
fmt/scan.go:947.20,949.3 1 12
fmt/scan.go:953.50,957.32 3 3591
fmt/scan.go:968.2,968.25 1 2754
fmt/scan.go:957.32,959.17 2 837
fmt/scan.go:965.3,965.9 1 836
fmt/scan.go:959.17,960.21 1 1
fmt/scan.go:963.4,963.16 1 1
fmt/scan.go:960.21,962.5 1 1
fmt/scan.go:969.13,970.24 1 25
fmt/scan.go:971.18,972.42 1 12
fmt/scan.go:973.19,974.32 1 61
fmt/scan.go:975.12,976.37 1 1957
fmt/scan.go:977.13,978.32 1 55
fmt/scan.go:979.14,980.34 1 35
fmt/scan.go:981.14,982.34 1 56
fmt/scan.go:983.14,984.27 1 33
fmt/scan.go:985.13,986.39 1 59
fmt/scan.go:987.14,988.34 1 26
fmt/scan.go:989.15,990.36 1 10
fmt/scan.go:991.15,992.36 1 10
fmt/scan.go:993.15,994.28 1 9
fmt/scan.go:995.16,996.46 1 0
fmt/scan.go:999.16,1000.44 1 24
fmt/scan.go:1005.16,1006.44 1 103
fmt/scan.go:1011.15,1012.29 1 83
fmt/scan.go:1013.15,1016.37 1 23
fmt/scan.go:1017.10,1020.32 3 173
fmt/scan.go:1024.3,1024.36 1 172
fmt/scan.go:1000.44,1004.4 3 24
fmt/scan.go:1006.44,1010.4 3 103
fmt/scan.go:1020.32,1023.4 2 1
fmt/scan.go:1025.21,1026.31 1 20
fmt/scan.go:1027.79,1028.46 1 57
fmt/scan.go:1029.101,1030.48 1 65
fmt/scan.go:1031.23,1032.38 1 11
fmt/scan.go:1033.22,1036.42 2 11
fmt/scan.go:1039.4,1041.34 3 11
fmt/scan.go:1044.41,1047.63 3 4
fmt/scan.go:1048.46,1049.54 1 4
fmt/scan.go:1050.11,1051.60 1 0
fmt/scan.go:1036.42,1038.5 1 0
fmt/scan.go:1041.34,1043.5 1 28
fmt/scan.go:1057.32,1058.30 1 3502
fmt/scan.go:1058.30,1059.34 1 138
fmt/scan.go:1059.34,1061.4 1 96
fmt/scan.go:1061.9,1061.55 1 42
fmt/scan.go:1061.55,1063.4 1 42
fmt/scan.go:1063.9,1064.12 1 0
fmt/scan.go:1070.68,1072.24 2 2341
fmt/scan.go:1077.2,1077.15 1 2318
fmt/scan.go:1089.2,1089.8 1 2317
fmt/scan.go:1072.24,1075.3 2 2383
fmt/scan.go:1077.15,1078.7 1 347
fmt/scan.go:1078.7,1080.29 2 364
fmt/scan.go:1083.4,1083.19 1 18
fmt/scan.go:1080.29,1081.10 1 346
fmt/scan.go:1083.19,1085.10 2 1
fmt/scan.go:1100.45,1101.22 1 2225
fmt/scan.go:1176.2,1176.8 1 52
fmt/scan.go:1101.22,1110.20 2 3240
fmt/scan.go:1155.3,1155.18 1 3118
fmt/scan.go:1169.3,1170.21 2 998
fmt/scan.go:1174.3,1174.9 1 963
fmt/scan.go:1110.20,1113.41 3 122
fmt/scan.go:1123.4,1123.34 1 122
fmt/scan.go:1132.4,1132.21 1 120
fmt/scan.go:1151.4,1151.12 1 104
fmt/scan.go:1113.41,1114.21 1 163
fmt/scan.go:1120.5,1121.50 2 163
fmt/scan.go:1114.21,1117.6 2 55
fmt/scan.go:1117.11,1119.6 1 108
fmt/scan.go:1123.34,1125.43 2 55
fmt/scan.go:1128.5,1128.40 1 55
fmt/scan.go:1125.43,1127.6 1 24
fmt/scan.go:1128.40,1130.6 1 2
fmt/scan.go:1132.21,1134.22 2 84
fmt/scan.go:1144.5,1144.43 1 68
fmt/scan.go:1147.5,1147.22 1 68
fmt/scan.go:1134.22,1137.43 1 67
fmt/scan.go:1140.6,1140.24 1 53
fmt/scan.go:1137.43,1139.7 1 14
fmt/scan.go:1140.24,1142.7 1 2
fmt/scan.go:1144.43,1146.6 1 51
fmt/scan.go:1147.22,1149.6 1 57
fmt/scan.go:1155.18,1157.26 1 2137
fmt/scan.go:1161.4,1162.20 2 2133
fmt/scan.go:1165.4,1165.10 1 17
fmt/scan.go:1157.26,1159.5 1 4
fmt/scan.go:1162.20,1164.5 1 2116
fmt/scan.go:1170.21,1173.4 2 31
fmt/scan.go:1181.84,1185.24 3 1161
fmt/scan.go:1234.2,1234.27 1 1051
fmt/scan.go:1237.2,1237.8 1 1047
fmt/scan.go:1185.24,1187.12 2 2225
fmt/scan.go:1192.3,1192.23 1 1248
fmt/scan.go:1200.3,1205.18 4 1229
fmt/scan.go:1209.3,1212.15 3 1229
fmt/scan.go:1215.3,1215.15 1 1228
fmt/scan.go:1219.3,1220.46 2 1216
fmt/scan.go:1224.3,1224.29 1 1216
fmt/scan.go:1228.3,1232.23 4 1208
fmt/scan.go:1187.12,1189.12 2 951
fmt/scan.go:1192.23,1194.13 1 19
fmt/scan.go:1198.4,1198.9 1 0
fmt/scan.go:1194.13,1196.5 1 19
fmt/scan.go:1205.18,1207.4 1 1175
fmt/scan.go:1212.15,1214.4 1 1187
fmt/scan.go:1215.15,1217.12 2 12
fmt/scan.go:1220.46,1222.4 1 54
fmt/scan.go:1224.29,1226.9 2 8
fmt/scan.go:1234.27,1236.3 1 4
fmt/errors.go:17.52,23.25 6 13
fmt/errors.go:28.2,29.12 2 13
fmt/errors.go:23.25,25.3 1 8
fmt/errors.go:25.8,27.3 1 5
fmt/errors.go:37.36,39.2 1 5
fmt/errors.go:41.36,43.2 1 5
